run_id,score,best_epoch,num_epochs_trained,best_val_loss,test_loss,test_f1_micro,test_f1_macro,test_precision_micro,test_recall_micro,val_f1_micro,val_f1_macro,model_path,summary_path,training_log_path,num_sites,physical_dim,bond_dim,dropout_rate,batch_size,learning_rate,weight_decay,num_epochs,patience,lr_scheduler_factor,lr_scheduler_patience
run_00142,0.348526457603642,1,1,0.9613233105137311,1.136529535088549,0.34931189519477607,0.225369010151874,0.24153723094529547,0.630758140978759,0.348526457603642,0.22518848416854645,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00142/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00142/training_log.csv,5,240,512,0.2,512,0.001,1e-06,1,20,0.7,3
run_00222,0.34782155422132893,1,1,1.0033851881086406,1.1565033119694301,0.34860978986888386,0.21170585637465653,0.23471195391043753,0.6772626106904771,0.34782155422132893,0.2109671177671731,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00222/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00222/training_log.csv,6,240,128,0.1,512,0.001,1e-06,1,20,0.7,3
run_00093,0.3478197293282557,1,1,0.9696009206147,0.99969100843805,0.3487697391292134,0.20941604809031816,0.23789126158898838,0.6532356082648889,0.3478197293282557,0.20916126332714452,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00093/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00093/training_log.csv,4,450,256,0.2,256,0.001,1e-06,1,20,0.7,3
run_00189,0.34691099086931765,1,1,0.9108113735012744,1.0648128680618576,0.3470295446653765,0.24746267460435123,0.22172830842443447,0.7979737657650073,0.34691099086931765,0.24779864679094843,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00189/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00189/training_log.csv,5,450,128,0.2,256,0.001,1e-06,1,20,0.7,3
run_00260,0.3447529924968984,1,1,0.9281994544031624,0.9838364333016768,0.3454912653842873,0.2206932713035542,0.23390478390375935,0.6606702199866356,0.3447529924968984,0.22015231289881151,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00260/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00260/training_log.csv,6,360,128,0.1,2048,0.001,1e-06,1,20,0.7,3
run_00282,0.3446432074869473,1,1,0.969217378087677,1.4614838490934405,0.3453105474019958,0.2199566368021192,0.23911773194727862,0.6211768048532809,0.3446432074869473,0.2194293901554999,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00282/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00282/training_log.csv,6,360,512,0.1,512,0.001,1e-06,1,20,0.7,3
run_00108,0.34456855373326795,1,1,0.9268081766773847,1.0270335309609695,0.3454841557979413,0.22376329097218006,0.22435246966611305,0.7509168302140936,0.34456855373326795,0.2228926892467612,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00108/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00108/training_log.csv,4,450,512,0.2,2048,0.001,1e-06,1,20,0.7,3
run_00097,0.34443229789090396,1,1,1.0215334312095363,1.3106277773467645,0.3450481354921685,0.20610234945865694,0.23977590519349867,0.6151075729912605,0.34443229789090396,0.2055818526176216,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00097/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00097/training_log.csv,4,450,512,0.0,256,0.001,1e-06,1,20,0.7,3
run_00098,0.3428698778345515,1,1,0.965830634734558,0.961318964459451,0.34401309490719295,0.20459540011231075,0.243458798792629,0.5860768085363864,0.3428698778345515,0.20383557602735924,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00098/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00098/training_log.csv,4,450,512,0.0,512,0.001,1e-06,1,20,0.7,3
run_00004,0.3427031362334129,1,1,0.8844574932564908,0.9215764512571989,0.3431491006009491,0.2389382849658152,0.2366061234562977,0.6242443056556717,0.3427031362334129,0.23855964595531295,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00004/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00004/training_log.csv,4,240,128,0.0,2048,0.001,1e-06,1,20,0.7,3
run_00131,0.34225482936664137,1,1,1.011462075563598,1.0473603832514777,0.3423903460539408,0.2246111644307891,0.2243223141777842,0.7228489347932462,0.34225482936664137,0.2245759907363696,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00131/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00131/training_log.csv,5,240,256,0.2,1024,0.001,1e-06,1,20,0.7,3
run_00061,0.342067025289062,1,1,0.9613741745445009,1.0938968254012633,0.34261396900440744,0.24189303462294473,0.21682794278228212,0.8159788905433633,0.342067025289062,0.24151302837991123,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00061/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00061/training_log.csv,4,360,512,0.0,256,0.001,1e-06,1,20,0.7,3
