trial_id,num_sites,physical_dim,bond_dim,dropout_rate,apply_snv,target_length,batch_size,num_epochs,learning_rate,weight_decay,patience,min_delta,num_workers,pin_memory,use_amp,lr_scheduler_factor,lr_scheduler_patience,lr_scheduler_min_lr,threshold_metric,best_epoch,best_val_f1_micro,best_val_f1_macro,best_val_loss,test_f1_micro,test_f1_macro,test_loss
327,5,200,64,0.2,True,1800,512,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,118,0.6657183499288762,0.2695729114482326,1.2392734289169312,0.6651428571428571,0.2524705222638362,2.6791768074035645
328,5,200,64,0.2,True,1800,512,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,121,0.6534062655395325,0.3162560200720874,1.2421106100082397,0.6308691308691309,0.24212949729276842,2.6854562759399414
329,5,200,64,0.2,True,1800,1024,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,117,0.7249453637215111,0.28301713798444583,2.680083751678467,0.7297805642633229,0.2813174557313328,6.364515781402588
330,5,200,64,0.2,True,1800,1024,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,73,0.7351092487279258,0.3011046763358964,2.5026845932006836,0.7222884386174017,0.2811418014628669,5.883556365966797
331,5,200,64,0.2,True,1800,1024,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,118,0.6646575342465754,0.26071172774395185,1.0812351703643799,0.6659298148659851,0.2501489407090269,2.2067618370056152
332,5,200,64,0.2,True,1800,1024,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,57,0.5485952133194589,0.29199921241686844,0.9904695153236389,0.5377731529656608,0.24142854102355402,1.871777892112732
333,5,200,64,0.2,True,1800,2048,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,89,0.6967141610933411,0.2819859292958827,2.085981845855713,0.7027027027027027,0.3143337392302696,4.6295695304870605
334,5,200,64,0.2,True,1800,2048,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,38,0.7005891805034815,0.29733904143996837,1.6628425121307373,0.6848944233892799,0.2933588200513997,3.5289642810821533
335,5,200,64,0.2,True,1800,2048,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,145,0.6564885496183206,0.24327480454048594,1.00395929813385,0.6484662576687117,0.2634970263462614,1.9417797327041626
336,5,200,64,0.2,True,1800,2048,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,46,0.5150361629234869,0.2758611004678816,0.9342262148857117,0.5029619721001337,0.25251534792514135,1.5189659595489502
337,5,200,64,0.3,True,1800,512,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,139,0.6808002388772768,0.2882719980020154,2.683067560195923,0.6851355376824546,0.30852473777849293,6.045004844665527
338,5,200,64,0.3,True,1800,512,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,116,0.7223812249570692,0.30948015210526825,2.6555612087249756,0.7127167630057804,0.30496301008483473,5.977581024169922
339,5,200,64,0.3,True,1800,512,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,85,0.6365591397849463,0.25362920738494366,1.1606138944625854,0.642967542503864,0.2788152169809459,2.486642360687256
340,5,200,64,0.3,True,1800,512,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,100,0.6530912659470068,0.29690356625174075,1.169482707977295,0.6435299950421418,0.2687692422470179,2.5524675846099854
341,5,200,64,0.3,True,1800,1024,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,102,0.7201991907874261,0.300246894371069,2.568268060684204,0.7080979284369114,0.2846352238667732,5.706897735595703
342,5,200,64,0.3,True,1800,1024,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,63,0.7273798997936929,0.31572203092443885,2.290590524673462,0.7154278945809891,0.3075595993233029,5.0553364753723145
343,5,200,64,0.3,True,1800,1024,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,95,0.652676399026764,0.2607193178977346,1.0158847570419312,0.6455968088370666,0.25574526841923023,2.024595022201538
344,5,200,64,0.3,True,1800,1024,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,64,0.551440329218107,0.29623457056992686,0.9638168811798096,0.53886444584119,0.2556082994998921,1.8016372919082642
345,5,200,64,0.3,True,1800,2048,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,98,0.7021961932650074,0.28240337044627023,2.159517526626587,0.7146650929477723,0.3305384683101158,4.2870965003967285
346,5,200,64,0.3,True,1800,2048,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,57,0.7301405219386292,0.3097404376144418,1.874863862991333,0.7184522090672827,0.3176497115724369,3.6942896842956543
347,5,200,64,0.3,True,1800,2048,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,143,0.6501640322099612,0.2634952921167495,0.9951950907707214,0.6421084156933213,0.2745905729656654,1.964594841003418
348,5,200,64,0.3,True,1800,2048,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,59,0.5128875607022787,0.28164989385283273,0.9264059662818909,0.503208758021895,0.257913645265577,1.6271036863327026
349,5,200,64,0.4,True,1800,512,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,149,0.6476141872926767,0.28851739516341013,2.4011037349700928,0.647633744855967,0.30984833137955053,6.3907294273376465
350,5,200,64,0.4,True,1800,512,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,48,0.6849170834430113,0.310968701885067,1.7817844152450562,0.6725192870444268,0.29777803348013043,5.131618022918701
351,5,200,64,0.4,True,1800,512,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,85,0.6264068075761735,0.2671090590818852,1.0200176239013672,0.616461366181411,0.2558433540799683,2.1713833808898926
352,5,200,64,0.4,True,1800,512,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,82,0.5651720542231491,0.3060076704617429,0.9898035526275635,0.5549542048293089,0.27357412972892936,2.098080635070801
353,5,200,64,0.4,True,1800,1024,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,118,0.7000592768227623,0.3042546676590017,2.4869370460510254,0.7084078711985689,0.30305755109954957,5.426416397094727
354,5,200,64,0.4,True,1800,1024,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,70,0.730580421599769,0.32963059149442475,2.2534265518188477,0.7151621384750219,0.2865491570512747,5.040158271789551
355,5,200,64,0.4,True,1800,1024,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,82,0.638150289017341,0.2704422203646528,1.0140525102615356,0.6242335766423358,0.27595283234537443,1.969650149345398
356,5,200,64,0.4,True,1800,1024,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,62,0.5123059447179099,0.2918103539578276,0.9555832147598267,0.5002842524161455,0.2682538956233903,1.7149033546447754
357,5,200,64,0.4,True,1800,2048,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,125,0.6755725190839694,0.2782076822638702,2.0285394191741943,0.6766548624353037,0.3178640960564011,4.1329522132873535
358,5,200,64,0.4,True,1800,2048,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,49,0.7004333694474539,0.3254544035300745,1.5891265869140625,0.6894664842681258,0.3122432114120656,3.3573358058929443
359,5,200,64,0.4,True,1800,2048,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,197,0.6155892524607608,0.2539336746823707,0.9592622518539429,0.6088362068965517,0.244220547138731,1.8542150259017944
360,5,200,64,0.4,True,1800,2048,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,54,0.4729131175468484,0.2688872627212602,0.9273520112037659,0.46441433716343683,0.24032440074909203,1.4928557872772217
361,5,200,128,0.2,True,1800,512,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,72,0.6797122302158274,0.2546792532341383,2.385667324066162,0.6823324630113142,0.2718986312221287,6.333606719970703
362,5,200,128,0.2,True,1800,512,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,73,0.707640259374119,0.2822235627655129,2.3813726902008057,0.6961918194640339,0.2672532293098746,6.270730495452881
363,5,200,128,0.2,True,1800,512,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,155,0.6770169115608539,0.2425184070928351,1.273736834526062,0.6661246612466125,0.27052688724665086,2.583366870880127
364,5,200,128,0.2,True,1800,512,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,110,0.6678681771369722,0.2864292420626672,1.2571606636047363,0.6393900889453621,0.25423682980420115,2.5085031986236572
